MD(ft),Hookload(kips),Torque(klb-ft),SPP(psi)
3288.5,,5603.850793,2320.502207
3289.0,,5477.732245,2307.49308
3289.5,,5435.452801,
3290.0,,5549.812192,2344.236746
3290.5,,5242.852416,2322.542824
3291.0,,5685.185059,2344.730724
3291.5,,5367.953294,
3292.0,,5403.753009,2336.468214
3292.5,,5436.593866,2322.449328
3293.0,,5534.586201,
3293.5,,5771.206097,
3294.0,,5572.043952,2327.873094
3294.5,,5507.138321,2336.97992
3295.0,,5599.613868,2322.431487
3295.5,,5304.329085,2335.060201
3296.0,,5506.337841,
3296.5,,5646.303913,2341.633102
3297.0,,5584.077522,2343.032338
3297.5,,5681.179809,2352.532581
3298.0,,5842.413136,2339.287129
3298.5,,5863.357097,2349.996854
3299.0,,5376.99127,2299.955406
3299.5,,5317.472379,2333.199862
3300.0,,5200.469802,2349.668592
3300.5,,5301.261699,2296.938706
3301.0,,5380.862818,2292.463317
3301.5,,5102.043179,2329.285778
3302.0,,5529.404298,2316.947844
3302.5,,5306.276518,
3303.0,,5374.712843,2319.118213
3303.5,,5391.72946,2300.462933
3304.0,,5603.718521,2309.172359
3304.5,,5438.224726,2298.879816
3305.0,,5529.687715,2314.053538
3305.5,,5473.227364,2355.706881
3306.0,,5236.826688,2337.757193
3306.5,,5456.750266,2343.915843
3307.0,,5394.410606,2340.940518
3307.5,,5509.591009,2333.366364
3308.0,,5498.801387,2350.912789
3308.5,,5460.644668,2344.842609
3309.0,,5354.30999,2355.403892
3309.5,,5540.597346,2355.025108
3310.0,,5583.015816,2336.77667
